Stage,Channel,Amplitude,NrClipsWithSpikes,SOZ
Wake,ga7,1.8808207724732428e-05,51,0
Wake,ga8,9.4824218190354e-06,51,0
Wake,gb1,1.1345634361857135e-05,51,0
Wake,gb2,1.943889506180662e-05,51,0
Wake,gb3,3.0794841623036817e-05,51,0
Wake,gb4,4.6522053624326665e-05,51,1
Wake,gb5,6.964825226594755e-05,51,1
Wake,gb6,4.9965400879699804e-05,51,1
Wake,gb7,4.8353312737514456e-05,51,0
Wake,gb8,2.06692775714624e-05,51,1
Wake,gc1,1.1150509737390869e-05,51,0
Wake,gc2,1.985168710559273e-05,51,0
Wake,gc3,2.3108834050220158e-05,51,0
Wake,gc4,2.867901305203802e-05,51,1
Wake,gc5,3.956814279859674e-05,51,1
Wake,gc6,2.595711018077986e-05,51,1
Wake,gc7,2.5316088081167735e-05,51,0
Wake,gc8,3.871152203845875e-05,51,1
Wake,gd1,1.806262507229679e-05,51,0
Wake,gd2,1.535821302631273e-05,51,0
Wake,gd3,1.868019555742616e-05,51,0
Wake,gd4,3.1847884581091585e-05,51,0
Wake,gd5,3.893822456273308e-05,51,1
Wake,gd6,1.8964278321326706e-05,51,1
Wake,gd7,6.385784932097979e-05,51,1
Wake,gd8,4.139511601530819e-05,51,1
Wake,ge1,1.242403274802912e-05,51,0
Wake,ge2,1.6405049541581774e-05,51,0
Wake,ge3,1.9101847240470996e-05,51,0
Wake,ge4,2.4877122924637502e-05,51,0
Wake,ge5,1.5556817618093314e-05,51,0
Wake,ge6,1.9591270644976312e-05,51,0
Wake,ge7,3.2992849455275135e-05,51,0
Wake,ge8,4.4576972935640136e-05,51,0
Wake,gf1,9.964466310205779e-06,51,0
Wake,gf2,1.4685335686600913e-05,51,0
Wake,gf3,1.2141086276181147e-05,51,0
Wake,gf4,1.713643434108811e-05,51,0
Wake,gf5,1.5325096579699987e-05,51,0
Wake,gf6,5.934915989302427e-05,51,0
Wake,gf7,6.226816194420985e-05,51,0
Wake,gf8,1.8151721180355736e-05,51,0
Wake,gg1,7.5160190459122546e-06,51,0
Wake,gg2,8.377553789448855e-06,51,0
Wake,gg3,7.980799858773673e-06,51,0
Wake,gg4,9.888959036193109e-06,51,0
Wake,gg5,2.3266288019480685e-05,51,0
Wake,gg6,3.1152134576889755e-05,51,0
Wake,gg7,2.6570792027499055e-05,51,0
Wake,gg8,1.8447685474025907e-05,51,0
Wake,gh1,7.4120982512066085e-06,51,0
Wake,gh2,7.362514310676097e-06,51,0
Wake,gh3,7.282090208259405e-06,51,0
Wake,gh4,8.992087924955436e-06,51,0
Wake,gh5,1.0280158041458568e-05,51,0
Wake,gh6,1.2867044855056193e-05,51,0
Wake,gh7,1.7102389521841404e-05,51,0
Wake,gh8,1.609822492891064e-05,51,0
Wake,iha1,8.037892176883711e-06,51,0
Wake,iha2,1.628539117964282e-05,51,1
Wake,iha3,6.659804957346617e-06,51,0
Wake,iha4,1.0112618883724315e-05,51,0
Wake,ihb1,1.0129675904901058e-05,51,1
Wake,ihb2,7.833504673142146e-06,51,0
Wake,ihb3,8.151408993454313e-06,51,0
Wake,ihb4,9.032433059709172e-06,51,1
Wake,ihc1,7.733390554863991e-06,51,0
Wake,ihc2,8.657402478351194e-06,51,1
Wake,ihc3,9.3936860599644e-06,51,0
Wake,ihc4,1.3694565139984763e-05,51,1
Wake,ihd1,1.3049690354917853e-05,51,0
Wake,ihd2,1.016634678667151e-05,51,0
Wake,ihd3,7.1800046568226696e-06,51,0
Wake,ihd4,6.156911194451434e-06,51,0
Wake,m3,7.4804005280663724e-06,51,0
Wake,m4,5.273183508016938e-06,51,0
Wake,m5,6.272981483930604e-06,51,0
Wake,m6,1.7879612592574394e-05,51,0
Wake,m7,2.3710914260034363e-05,51,0
Wake,m8,4.841963113756298e-05,51,1
